Gene,NM_ID,S0_Ms1-10,S0_Ms1-7,S0_Ms1-8,S0_Ms1-9,S0_Ms1-5,S2_Ms2-4,S2_Ms2-6,S2_Ms2-8,S2_Ms2-10,S2_Ms2-7,S5_Ms3-4,S5_Ms3-3,S5_Ms3-7,S5_Ms3-8,S5_Ms3-10,S8_Ms4-1,S8_Ms4-2,S8_Ms4-3,S8_Ms4-4,S8_Ms4-6,S12_Ms5-1,S12_Ms5-2,S12_Ms5-3,S12_Ms5-4,S12_Ms5-5,S16_Ms6-1,S16_Ms6-2,S16_Ms6-4,S16_Ms6-5,S16_Ms6-6,T0_Ms1-10,T0_Ms1-7,T0_Ms1-8,T0_Ms1-9,T0_Ms1-5,T2_Ms2-4,T2_Ms2-6,T2_Ms2-8,T2_Ms2-10,T2_Ms2-7,T5_Ms3-4,T5_Ms3-8,T5_Ms3-10,T5_Ms3-7,T5_Ms3-3,T8_Ms4-1,T8_Ms4-2,T8_Ms4-3,T8_Ms4-4,T8_Ms4-6,T12_Ms5-1,T12_Ms5-2,T12_Ms5-3,T12_Ms5-4,T12_Ms5-5,T16_Ms6-1,T16_Ms6-2,T16_Ms6-4,T16_Ms6-5,T16_Ms6-6,L0_Ms1-10,L0_Ms1-7,L0_Ms1-8,L0_Ms1-9,L0_Ms1-5,L2_Ms2-4,L2_Ms2-6,L2_Ms2-8,L2_Ms2-10,L2_Ms2-7,L5_Ms3-4,L5_Ms3-3,L5_Ms3-7,L5_Ms3-8,L5_Ms3-10,L8_Ms4-1,L8_Ms4-2,L8_Ms4-4,L8_Ms4-6,L8_Ms4-3,L12_Ms5-1,L12_Ms5-2,L12_Ms5-3,L12_Ms5-4,L12_Ms5-5,L16_Ms6-1,L16_Ms6-2,L16_Ms6-4,L16_Ms6-5,L16_Ms6-6,B0_Ms1-10,B0_Ms1-7,B0_Ms1-9,B0_Ms1-5,B0_Ms1-8,B2_Ms2-4,B2_Ms2-6,B2_Ms2-10,B2_Ms2-7,B2_Ms2-8,B5_Ms3-4,B5_Ms3-8,B5_Ms3-7,B5_Ms3-3,B5_Ms3-10,B8_Ms4-2,B8_Ms4-1,B8_Ms4-3,B8_Ms4-4,B8_Ms4-6,B12_Ms5-1,B12_Ms5-2,B12_Ms5-4,B12_Ms5-5,B12_Ms5-3,B16_Ms6-1,B16_Ms6-2,B16_Ms6-5,B16_Ms6-6,B16_Ms6-4
Cd2,XM_006500959.1,570.84,354.03,636.27,520.37,458.84,190.26,218.79,285.42,331.53,92.72,186.62,228.36,198.53,201.22,181.72,18.69,68.59,27.19,21.3,30.31,130.47,41.91,172.45,134.49,62.34,385.91,304.62,302.07,245.36,294.33,6.92,4.57,13.31,13.18,4.2,6.2,12.93,3.3,4.35,9.67,6.9,7.51,10.23,2.49,7.1,7.79,6.41,15.57,12.47,6.5,7.54,3.14,5.61,3.32,5.69,10.24,15.03,4.48,4.97,8.02,587.53,480.46,587.58,554.37,580.82,464.84,304.7,387.15,373.81,317.63,404.53,378.81,351.69,393.81,381.06,284.35,492.13,365.95,330.22,395.77,292.25,324.93,486.59,400.97,389.23,411.92,470.25,441.6,482.28,612.57,117.32,68.46,111.03,73.82,116.97,42.61,75.66,58.48,57.51,78.52,12.77,5.81,9.3,8.98,12.85,37.16,23.37,24.09,54.89,35.76,135.14,59.5,100.07,74.13,88.75,157.98,147.62,78.35,90.96,94.21
Cd200,NM_010818.3,441.53,315.01,440.96,423.48,385.52,547,578.12,539.87,479.03,661.3,377.73,411.31,463.68,415.24,297.98,64.37,113.87,74.33,60.36,72.24,169.84,82,242.44,234.01,137.62,340.42,245.91,289.94,305.62,261.35,38.43,33.13,53.25,51.64,34.97,33.59,43.72,26.37,33.17,42.64,36.81,45.03,46.02,33.99,33.48,54.53,25.12,50.18,35.64,59.12,37.03,26.66,34.15,34.1,34.13,41.69,41.33,23.37,35.68,62.44,468.74,402.37,503.83,517.77,432.79,470.36,630.53,524.92,527.8,433.27,431.5,421.57,528.2,476.93,408.11,350.7,353.32,335.37,411.8,324.2,446.39,454.9,447.46,468.5,410.09,333.12,457.95,379.53,459.6,359.2,115.51,104.63,101.77,97.9,115.71,157.64,145.78,80.09,103.18,124.55,71.99,52.33,48.59,77.26,91.58,92.89,257.11,192.72,186.63,95.36,108.7,72.93,87.3,106.84,104.72,137.67,105.04,85.77,104.95,120.02
Cd200r1,NM_021325.3,150.28,133.24,134.27,155.51,151.37,307.69,295.45,242.34,273.93,370.87,364.24,292.46,446.7,301.25,325.33,95.52,77.25,78.56,67.46,71.73,132.72,123.91,207.45,118.35,151.74,220.1,180.56,208.36,136.67,190.52,39.97,17.14,106.5,43.95,30.77,35.14,42.49,50,23.92,51.74,54.65,52.54,54.97,48.09,50.73,99.54,29.93,174.76,88.5,72.71,37.03,29.8,60.66,37.89,39.41,104.59,87.68,21.88,38.39,71.61,167.32,133.68,159.65,100.11,145.77,198.63,172.6,169.46,196.22,220.49,198.22,171,152.62,168.97,226.18,328.58,140.91,231.59,242.16,275.08,178.8,198.78,217.86,153.74,199.25,229.24,182.87,121.74,164.79,150.74,155.22,223.47,210.16,213.45,199.98,480.03,470.56,269.5,419.48,415.63,160.24,152.15,157.14,158.12,191.2,274.02,529.8,425.59,422.66,484.73,188.02,253.34,202.28,191.87,225.42,194.09,218.59,168.36,173.76,236.17
Cd207,NM_144943.3,32.62,20.94,41.2,26.32,23.65,43.11,36.73,37.7,37.93,27.27,8.99,16.02,11.76,11.63,4.88,7.61,16.65,10.88,5.07,6.57,20.25,10.93,47.49,26.9,11.76,39.62,34.34,27.56,33.36,42.74,3.07,4.57,9.22,3.3,6.29,6.72,2.46,2.75,4.35,5.69,6.9,1.88,7.67,4.15,10.15,7.79,2.67,10.38,4.16,5.32,2.74,5.23,6.63,4.26,6.09,5.85,6.89,1.99,1.81,4.01,40.87,39.71,68.05,20.45,36.16,23.45,51.08,23.42,24.84,32.38,17.53,17.81,13.27,17.71,9.83,31.59,25.24,32.77,54.39,61.75,35.76,26.76,28.7,21.81,15.06,44.77,44.57,35.81,55.94,35.28,5.41,6.46,10.57,11.23,6.29,8.52,12.92,6.36,13.53,13.54,4.64,9.69,2.07,8.98,11.25,18.58,31.16,28.11,21.96,23.84,29.38,9.6,10.65,13.08,14.2,22.57,5.68,5.29,5.83,11.61
Cd22,NM_001043317.2,1662.43,965.98,1344.25,1454.65,1704.11,566.32,485.49,935.69,1106.96,317.7,387.85,423.33,351.35,395.47,374.18,35.3,226.42,59.83,38.04,67.19,236.2,120.27,452.38,298.56,197.61,1109.31,735.52,975.67,850.15,861,10.76,9.14,15.36,13.18,11.19,8.27,6.16,8.79,4.89,18.19,11.5,10.32,17.26,7.46,15.22,13.85,4.81,31.14,23.17,7.68,6.86,8.89,12.23,12.79,6.91,19.75,14.4,6.96,6.77,13.75,1269.57,1086.66,1045.61,1771.84,1414.77,413.81,398.04,675.1,1120.19,300.67,559.6,433.44,322.49,419.7,567.91,221.16,899.08,557.12,300.43,279.29,441.46,358.06,644.44,840.38,622.08,1219.64,665.41,840.23,963.05,1234.76,344.74,206.68,297.39,229.5,367.25,96.57,149.47,184.33,89.65,113.72,32.51,29.07,22.74,23.36,17.67,58.05,54.54,80.3,109.78,67.54,414.23,178.49,229.96,167.89,195.25,422.04,272.53,204.36,166.76,231.01
Cd244,NM_018729.2,488.13,305.5,416.55,464.15,471.85,567.81,824.06,531.79,582.98,702.2,793.68,884.04,865.97,818.85,1114.72,143.97,227.75,142.62,120.2,140.94,263.19,187.69,394.9,360.43,255.25,515.04,366.65,394.68,371.27,382.26,29.21,26.28,52.23,35.16,24.48,11.88,12.32,12.64,6.52,29,18.41,22.52,33.24,14.1,36.53,19.04,24.05,103.82,73.06,17.73,20.57,14.64,50.97,37.41,22.75,94.35,39.45,12.93,29.35,47.55,134.11,121.77,142.64,128.1,127.69,111.73,128.57,133.64,161.45,141.85,176.65,152,148.64,167.61,249.54,432.85,157.73,299.32,258.99,291.92,183.74,233.18,260.91,195.29,298.88,263.27,185.95,136.06,176.89,147.53,209.37,186.01,171.83,202.21,132.06,301.09,507.47,277.13,346.75,389.91,104.5,109.51,136.46,145.54,191.2,364.58,451.89,333.25,340.32,417.18,428.91,345.46,317.26,385.92,335.47,119.62,133.43,140.83,122.45,145.83
Cd247,NM_001113391.2,551.04,457.77,671.36,450.99,473.04,509.84,439.18,541.22,501.5,355.87,456.42,526.15,526.37,467.58,420.1,47.07,137.18,84,49.7,73.75,161.97,96.58,324.91,220.56,170.56,416.73,345.61,370.42,275.49,335.85,27.67,18.28,41.99,28.57,11.89,12.4,8.01,8.79,5.44,14.21,12.08,15.95,8.95,14.1,18.26,20.77,18.17,54.5,29.11,8.87,19.2,6.8,17.33,16.1,8.94,50.47,33.19,9.95,11.29,28.07,1224.86,855.03,1158.15,891.3,1297.24,1164.18,945.79,1213.8,844.49,1048.48,1289.11,1261.13,1189.11,1111.93,1044.85,870.43,1050.51,946.02,940.14,1046.97,887.85,1041.05,1188.43,997.24,914.01,599.97,960.47,744.75,895.02,1019.88,97.46,56.84,59.48,73.82,69.17,112.2,112.57,69.92,81.19,128.62,27.87,20.35,21.71,35.94,30.53,74.31,54.54,60.23,76.85,63.57,117.51,53.74,61.75,91.57,63.9,85.76,46.84,40.24,45.48,46.46
Cd27,NM_001033126.2,244.65,207.47,276.17,166.28,204.59,164.99,206.01,218.1,238.81,141.8,181,233.7,208.98,184.94,197.35,33.22,57.27,39.89,29.42,35.87,70.86,60.13,147.46,91.45,79.99,193.69,129.6,151.04,96.85,116.02,13.07,6.86,16.38,8.79,9.09,7.23,4.31,8.24,6.52,8.53,9.2,5.63,6.39,8.29,9.13,12.12,7.48,29.41,13.07,6.5,7.54,6.27,9.17,7.1,7.31,19.75,16.91,8.45,4.52,17.76,564.54,405.02,431.85,364.92,508.5,502.09,454.4,462.93,389.95,444.06,624.33,646,485.73,478.29,497.84,417.05,463.74,423.85,409.21,444.89,399.53,391.19,377.01,352.15,353.32,308.04,370.36,236.31,338.66,432.97,63.17,69.75,64.77,64.19,74.2,97.99,119.95,76.27,140.39,125.91,55.74,48.46,52.72,39.53,54.63,74.31,116.87,52.2,60.38,59.6,58.76,38.38,36.2,52.33,62.12,36.11,46.84,26.47,44.31,40.01
Cd274,NM_021893.2,650.06,526.29,598.12,586.17,617.31,750.63,1020.49,881.83,590,620.39,569.97,575.56,693.56,585.06,626.24,105.9,216.43,122.68,91.8,129.82,254.2,164,417.39,387.32,290.53,582.53,499.58,515.95,493.95,481.18,165.25,73.12,509.97,453.77,137.77,122.98,136.1,87.36,67.96,270.07,166.82,143.54,255.65,131.83,170.46,166.18,200.44,1092.66,980.67,154.29,133.73,110.31,624.91,353.3,149.12,756.26,635.03,127.3,270.51,528.74,574.75,444.72,480.27,834.25,682.52,926.93,1069.08,1023.67,557.61,746.27,817.16,833.63,695.42,759,746.15,510.25,771.84,1069.46,516.69,602.08,694.25,689.36,710.97,660.67,642.93,891.9,631.61,613.46,644.05,606.16,140.78,160.17,152,134.81,127.03,281.2,350.61,137.29,289.24,352,99.86,103.7,114.75,122.18,131.75,213.64,373.98,325.22,208.58,290.04,229.15,157.38,193.76,170.07,197.02,180.55,149.04,126,134.11,121.31
Cd276,NM_133983.4,65.24,39.97,59.51,56.22,56.76,74.32,57.49,55.2,50.57,57.27,42.72,37.39,47.02,56.99,35.17,16.61,29.97,16.92,5.07,19.7,46.12,32.8,62.48,43.04,32.94,57.23,55.39,69.45,40.89,61.06,158.34,129.1,104.45,153.82,158.75,164.32,147.18,163.18,178.33,163.18,156.46,122.9,147.64,121.88,140.02,141.95,100.49,94.3,86.72,120,101.49,93.58,96.85,91.88,121.49,123.6,105.84,141.72,131.87,116.29,26.82,51.62,37.95,34.45,20.34,68.97,38.75,27.56,42.22,20.04,29.67,38,31.85,28.62,22.13,60.03,38.91,31.68,50.5,32.28,69.06,40.78,50.88,29.09,44.02,51.94,35.35,47.74,37.8,48.11,36.1,33.58,25.11,28.89,27.67,49.71,36.91,17.8,25.37,44.68,26.71,19.38,18.61,23.36,27.31,30.19,116.87,68.26,76.85,39.73,61.69,38.38,19.16,54.51,35.5,33.85,26.97,21.18,37.32,42.59
