Gene,NM_ID,S0_Ms1-10,S0_Ms1-7,S0_Ms1-8,S0_Ms1-9,S0_Ms1-5,S2_Ms2-4,S2_Ms2-6,S2_Ms2-8,S2_Ms2-10,S2_Ms2-7,S5_Ms3-4,S5_Ms3-3,S5_Ms3-7,S5_Ms3-8,S5_Ms3-10,S8_Ms4-1,S8_Ms4-2,S8_Ms4-3,S8_Ms4-4,S8_Ms4-6,S12_Ms5-1,S12_Ms5-2,S12_Ms5-3,S12_Ms5-4,S12_Ms5-5,S16_Ms6-1,S16_Ms6-2,S16_Ms6-4,S16_Ms6-5,S16_Ms6-6,T0_Ms1-10,T0_Ms1-7,T0_Ms1-8,T0_Ms1-9,T0_Ms1-5,T2_Ms2-4,T2_Ms2-6,T2_Ms2-8,T2_Ms2-10,T2_Ms2-7,T5_Ms3-4,T5_Ms3-8,T5_Ms3-10,T5_Ms3-7,T5_Ms3-3,T8_Ms4-1,T8_Ms4-2,T8_Ms4-3,T8_Ms4-4,T8_Ms4-6,T12_Ms5-1,T12_Ms5-2,T12_Ms5-3,T12_Ms5-4,T12_Ms5-5,T16_Ms6-1,T16_Ms6-2,T16_Ms6-4,T16_Ms6-5,T16_Ms6-6,L0_Ms1-10,L0_Ms1-7,L0_Ms1-8,L0_Ms1-9,L0_Ms1-5,L2_Ms2-4,L2_Ms2-6,L2_Ms2-8,L2_Ms2-10,L2_Ms2-7,L5_Ms3-4,L5_Ms3-3,L5_Ms3-7,L5_Ms3-8,L5_Ms3-10,L8_Ms4-1,L8_Ms4-2,L8_Ms4-4,L8_Ms4-6,L8_Ms4-3,L12_Ms5-1,L12_Ms5-2,L12_Ms5-3,L12_Ms5-4,L12_Ms5-5,L16_Ms6-1,L16_Ms6-2,L16_Ms6-4,L16_Ms6-5,L16_Ms6-6,B0_Ms1-10,B0_Ms1-7,B0_Ms1-9,B0_Ms1-5,B0_Ms1-8,B2_Ms2-4,B2_Ms2-6,B2_Ms2-10,B2_Ms2-7,B2_Ms2-8,B5_Ms3-4,B5_Ms3-8,B5_Ms3-7,B5_Ms3-3,B5_Ms3-10,B8_Ms4-2,B8_Ms4-1,B8_Ms4-3,B8_Ms4-4,B8_Ms4-6,B12_Ms5-1,B12_Ms5-2,B12_Ms5-4,B12_Ms5-5,B12_Ms5-3,B16_Ms6-1,B16_Ms6-2,B16_Ms6-5,B16_Ms6-6,B16_Ms6-4
A2m,NM_175628.3,23.3,24.74,24.41,16.75,24.83,37.16,23.96,39.04,37.93,47.72,25.86,42.73,24.82,11.63,18.56,11.07,11.32,10.27,9.13,6.57,19.12,32.8,49.99,34.97,9.41,22.01,19.94,14.33,6.46,10.99,9.99,16,17.41,8.79,5.59,7.75,11.08,8.79,7.07,8.53,8.05,13.13,8.31,12.44,15.22,16.45,10.69,13.84,10.1,12.41,10.29,8.89,8.67,7.1,7.72,10.97,8.14,1.99,7.23,13.18,24.27,13.24,14.4,17.22,11.3,33.1,56.36,33.07,23.6,37.01,33.71,29.69,19.91,23.17,22.13,42.65,14.72,16.39,22.01,22.46,14.8,17.84,18.26,9.35,13.9,28.66,26.12,19.1,18.14,22.45,131.76,206.68,166.54,136.41,99.36,85.21,49.82,24.15,59.2,37.91,54.57,33.92,18.61,32.34,27.31,41.8,54.54,48.18,60.38,75.49,64.63,42.22,59.62,82.85,47.92,81.25,100.78,51.88,30.32,36.13
Abca1,NM_013454.3,1103.24,877.47,1249.65,966.58,1056.05,1733.15,1636.94,1579.22,1803.72,2571.56,956.69,1045.63,1085.4,1123.6,813.82,206.96,293.01,227.23,153.68,212.67,475.78,291.56,729.81,618.64,456.39,934.7,764.32,891.88,766.21,850.01,216.75,149.67,288.78,331.81,250.36,414.41,511.75,536.8,289.79,622.01,580.41,1163.32,829.6,491.67,782.3,1197.05,142.71,560.61,675.36,1081.22,310.66,327.79,299.2,281.31,355.12,408.11,521.68,221.28,269.61,471.45,1352.59,1875.51,2032.32,991.41,1502.91,2339.4,2560.86,2324.27,2467.64,3979.59,1557.45,1048.57,1767.73,2459.6,2042.99,1883.04,1077.85,965.68,1932.09,1898.86,1173.94,1428.41,2002.46,1352.51,1529.14,1930.65,2023.9,1730.58,1582.92,1148.17,434.98,401.73,309.29,285.67,443.97,687.38,656.94,333.06,581.86,495.51,262.42,298.49,211.93,226.39,388.82,183.45,311.65,325.22,241.52,270.18,232.08,255.26,240.6,368.48,294.65,372.39,475.51,426.72,427.98,489.11
Abcb1a,NM_011076.1,207.37,192.24,274.65,216.52,179.75,327.01,340.16,267.92,321.69,312.24,292.29,301.8,395.76,318.7,254.01,36.68,63.93,47.14,29.42,35.87,76.48,54.67,147.46,115.66,85.87,245.05,169.48,181.9,154.96,180.75,13.07,11.43,17.41,6.59,11.89,14.47,6.16,12.64,7.61,11.94,12.08,17.83,12.14,10.78,10.15,22.5,5.34,17.3,20.2,13.6,10.29,11.5,12.23,9.47,11.38,19.75,26.93,10.94,13.55,23.49,134.11,205.15,179.28,161.47,172.89,211.04,292.37,246.62,221.06,282.16,179.34,214.94,242.86,249.37,183.16,187.99,176.66,164.95,168.35,209.11,135.64,229.36,152.63,172.44,183.03,204.17,272.01,236.31,195.03,182.81,50.54,40.04,35.69,38.52,30.18,58.23,53.51,34.32,42.29,51.45,25.55,17.44,16.54,25.15,22.49,46.44,62.33,60.23,49.4,59.6,44.07,28.79,25.55,21.8,37.27,29.34,25.55,27.53,39.65,19.36
Abcg1,NM_009593.1,1262.84,1077.33,1350.36,1075.44,1356.43,2263.8,2480.16,2291.42,2045.34,3329.67,1458.08,1601.16,1837.73,1583.04,1541.66,332.24,505.44,339.63,257.65,326.33,707.48,517.51,1089.71,922.58,712.81,1320.61,1137.62,1244.66,1083.67,1038.09,122.21,67.41,238.6,149.42,86.02,79.06,84.37,112.09,55.46,187.63,96.06,167.93,116.32,51.41,121.76,169.65,70.55,322.69,210.87,120.59,87.09,83.12,197.77,131.66,101.58,289.63,233.6,91.5,112,186.75,1384.52,1503.59,1853.04,1155.03,1633.99,3013.9,3406.26,2785.82,2487.51,4443.7,1978.17,1638.76,1840.73,2470.5,2242.13,1856.18,1351.25,1802.46,1779.28,2158.5,1425.5,1734.23,2550.37,1478.2,1852.34,1794.54,1781.1,1281.83,1818.77,1161,481.91,537.36,518.13,516.77,616.28,923.14,1026,572.05,1163.72,1008.62,268.23,350.83,359.77,269.52,385.61,685.05,779.12,782.93,680.64,758.88,1301.43,646.79,864.47,1018.23,892.81,681.58,495.38,476.48,457.13,471.04
Abl1,NM_009594.4,503.27,372.12,418.08,449.79,561.73,787.8,598.88,739.13,717.84,891.73,554.23,555.53,709.23,572.27,445.5,192.42,271.7,246.56,179.55,209.13,312.68,275.16,437.38,330.84,261.13,561.99,445.3,476.26,394.94,456.76,318.98,250.21,236.55,261.49,316.1,321.4,344.24,303.84,313.71,331.47,306.6,260.81,286.97,249.57,294.25,309.86,290.77,274.25,252.44,310.95,306.54,287.01,285.95,292.21,275.48,301.33,238.61,295.87,270.06,307.04,284.82,303.1,236.86,254.04,282.5,321.39,392.76,283.82,315.44,356.17,326.32,283.81,305.24,381.55,325.75,361.76,279.71,228.31,318.56,380.33,270.06,309.64,266.13,244.12,264.12,349.24,339.62,276.89,255.5,285.44,310.44,324.22,363.48,372.33,352.16,409.02,507.47,291.11,531.12,431.88,217.13,272.33,317.38,251.55,326.16,322.78,389.56,521.95,351.3,357.59,646.31,445.26,489.73,468.78,509.42,512.32,323.63,258.36,293.87,274.88
Ada,NM_007398.3,119.99,197.95,160.21,120.82,137.18,291.34,212.4,189.83,234.6,256.34,263.06,213.67,292.57,286.13,234.47,80.29,74.58,62.85,64.41,68.7,116.98,96.58,189.95,137.18,134.09,123.26,131.82,159.85,128.06,123.35,75.33,70.84,86.02,82.4,51.75,188.09,160.73,160.44,122.87,180.24,144.96,157.61,168.09,181.58,134.95,154.07,77.5,95.16,115.23,106.41,63.09,69.53,70.85,77.2,78.42,90.69,87.68,56.69,77.23,81.34,108.56,172.07,126.94,134.56,145.77,219.32,163.8,158.44,145.3,186.57,169.9,155.56,157.93,175.78,142.59,156.39,272.35,199.91,119.14,137.54,177.57,194.96,208.73,277.36,203.88,241.78,93.74,183.8,184.45,304.68,171.47,173.09,157.29,168.51,154.7,235.76,204.83,247.89,235.11,219.32,240.36,229.69,243.98,264.13,425.77,229.9,319.44,273.02,356.79,361.56,123.39,147.78,166.08,176.61,154.42,119.62,163.24,166.24,148.1,135.51
Adora2a,NM_009630.2,117.66,86.61,144.95,106.47,99.34,126.34,209.21,115.78,103.95,124.08,88.81,120.19,116.25,103.52,125.05,31.84,47.95,38.07,28.91,38.9,57.36,45.56,67.48,53.79,52.93,110.05,80.86,100.32,88.24,92.82,10.76,11.43,14.34,9.89,12.59,12.92,8.62,11.54,10.87,9.1,12.66,15.95,12.14,6.63,15.22,18.18,14.97,31.14,14.85,10.05,13.72,11.5,8.67,8.52,11.38,24.14,18.16,10.94,11.29,17.76,174.98,150.89,130.86,118.41,155.94,153.11,200.78,155.69,145.3,188.11,167.21,156.75,134.04,171.7,184.39,124.8,126.19,169.32,155.4,159.99,176.34,165.65,187.85,155.82,140.17,186.26,172.12,155.16,178.4,179.6,55.95,42.63,40.97,35.31,30.18,110.78,101.49,53.39,87.96,66.34,30.19,31.01,32.05,14.37,20.89,37.16,54.54,56.21,32.93,47.68,70.51,42.22,57.49,52.33,69.22,36.11,44,31.77,59.47,47.75
Aicda,NM_009645.2,45.43,98.03,53.4,35.89,42.57,16.35,19.16,25.58,16.86,28.63,14.61,14.69,20.9,12.79,22.47,11.77,13.32,8.46,5.58,7.58,22.5,23.69,19.99,21.52,7.06,41.09,33.23,31.97,17.22,21.98,6.92,19.42,15.36,10.99,10.49,8.27,4.31,7.69,7.07,5.12,1.73,8.44,10.87,7.46,14.21,12.12,7.48,10.38,5.35,2.36,9.6,4.71,4.08,2.37,2.44,10.24,5.64,2.98,1.81,5.73,76.63,101.92,14.4,43.06,77.97,22.07,17.61,12.4,12.42,21.59,32.36,16.63,21.23,12.26,17.21,31.59,228.19,105.96,12.95,9.82,115.91,137.62,139.59,320.99,111.21,112.83,29.2,190.96,145.14,336.75,23.46,12.92,15.86,24.07,20.12,24.14,23.99,15.25,18.61,13.54,16.26,1.94,6.2,17.97,19.28,18.58,23.37,24.09,10.98,31.79,52.88,30.71,17.03,23.98,31.95,36.11,22.71,16.94,27.99,24.52
Aire,NM_009646.1,44.27,31.41,35.09,29.91,34.3,46.08,38.33,35,51.98,28.63,34.85,32.05,36.57,27.92,29.31,17.3,17.98,15.71,6.59,14.14,35.99,43.73,82.48,61.86,31.76,51.36,44.31,58.43,34.44,36.64,14.6,29.71,17.41,9.89,18.18,12.92,16.63,15.93,10.33,13.65,9.2,10.32,12.78,18.24,23.34,24.24,18.17,22.49,11.88,24.24,30.17,15.68,20.39,13.26,13.41,17.55,16.91,11.93,16.26,16.04,57.48,42.35,45.8,34.45,54.24,51.04,59.88,62,86.93,84.8,51.24,42.75,47.78,51.78,52.86,88.46,48.37,86.3,64.75,74.38,102.35,76.45,84.79,64.41,81.09,111.04,72.23,42.97,61.99,67.35,39.71,23.25,23.79,35.31,17.61,42.61,57.21,34.32,33.83,27.08,34.83,21.32,13.44,37.73,36.95,53.41,241.53,112.42,120.76,103.3,76.38,55.66,44.71,56.69,47.92,49.65,21.29,14.82,18.66,34.84
Akt3,NM_011785.3,714.13,539.62,773.59,714.17,575.92,431.06,412.03,515.64,598.43,439.05,493.52,567.55,556.41,519.92,410.33,302.48,287.68,313.64,222.15,235.4,376.8,280.62,419.89,368.49,339.94,661.77,593.73,608.55,520.85,616.75,380.47,347.32,365.58,381.25,374.84,305.9,349.79,325.27,290.33,303.05,288.19,338.68,290.17,244.59,313.53,329.77,307.34,411.8,384.31,328.09,326.43,301.65,379.74,335.78,268.98,413.97,428.37,306.31,353.61,399.85,688.43,745.18,821.83,740.6,703.99,536.57,477.3,549.72,658.2,505.74,500.27,431.07,516.25,581.86,492.92,492.88,486.87,441.33,481.73,607.69,464.89,531.35,584.43,509.01,549.1,639.37,690,723.26,651.61,731.24,424.15,404.31,393.88,388.38,423.85,441.69,315.55,306.37,424.56,422.4,313.51,266.51,181.95,265.92,310.09,294.92,280.48,417.56,428.15,389.37,305.53,289.81,370.49,355.4,314.17,277.6,485.45,425.66,467.62,428.46
Alcam,NM_009655.1,267.95,247.44,321.95,265.57,302.74,297.28,284.27,220.8,275.33,287.7,282.17,377.92,339.6,290.79,220.8,70.6,93.9,70.71,47.17,67.69,163.09,105.69,239.94,220.56,138.8,290.53,207.14,240.33,173.26,273.57,77.63,75.41,121.86,89,74.83,101.79,110.85,140.66,74.49,82.44,79.96,110.7,113.77,64.67,95.38,108.19,74.3,151.4,116.42,89.26,96.01,81.03,80.53,80.04,106.05,100.93,122.75,71.11,70,97.38,243.95,297.81,248.64,279.88,233.91,169.66,200.78,146.04,137.85,114.1,169.9,163.88,207.03,203.04,167.18,262.23,278.66,320.07,361.29,230.16,242.93,210.25,225.68,232.69,253.7,368.94,315.03,360.44,244.92,295.06,180.49,189.88,223.38,216.66,207.52,181.79,162.39,198.31,218.2,203.08,123.08,173.48,134.4,132.96,133.36,280.98,280.48,485.82,488.52,448.97,179.2,226.47,191.63,255.1,236.07,117.36,168.91,133.42,165.59,126.47
Ambp,NM_007443.3,19.8,14.28,12.21,11.96,13.01,29.73,20.76,20.19,19.67,21.82,20.24,29.38,11.76,8.14,19.54,12.46,13.32,6.65,8.12,7.07,25.87,27.33,32.49,24.21,16.47,26.41,15.51,17.64,5.38,19.54,9.22,17.14,9.22,7.69,9.09,11.88,11.7,12.64,6.52,9.1,10.93,9.38,11.5,7.46,13.19,17.31,8.02,10.38,5.94,11.23,10.97,6.8,16.31,9.95,6.91,13.9,6.89,13.43,11.74,10.88,21.71,26.47,17.01,11.84,18.08,22.07,22.9,12.4,17.39,33.92,18.88,7.13,11.94,16.35,18.44,20.54,17.88,14.2,23.31,28.07,20.96,22.94,13.05,9.35,15.06,14.33,23.05,7.16,21.17,32.07,30.68,11.63,5.29,17.65,15.09,22.72,23.99,19.07,15.22,12.18,19.74,15.51,19.64,30.55,33.74,27.87,77.91,40.15,38.42,35.76,38.19,23.03,21.29,30.52,10.65,36.11,26.97,11.65,9.33,15.49
Amica1,NM_001005421.4,335.51,314.06,338.73,338.54,334.67,506.86,584.51,514.29,552.07,501.77,350.75,361.9,295.19,336.15,262.8,110.05,177.14,131.14,96.37,112.65,182.21,122.09,352.41,250.15,238.78,344.83,255.88,317.51,313.16,310.2,24.6,22.85,70.66,24.17,17.48,15.5,25.86,19.78,8.7,35.25,24.73,25.33,38.35,18.24,31.45,29.43,13.36,141.02,62.37,10.05,23.32,13.59,22.94,12.79,13.81,29.99,32.57,12.93,13.1,29.79,383.17,418.25,490.74,459.64,455.39,564.16,741.49,608.97,458.26,531.95,470.61,476.19,449.9,531.44,444.98,1371.2,419.57,1084.75,749.78,1046.97,501.88,614.18,600.09,529.78,734.45,501.47,453.34,412.95,446,420.14,368.2,368.14,400.49,560.1,397.43,708.69,590.51,450.02,1008.11,717.54,68.51,85.28,75.47,75.46,96.4,942.81,1690.68,1766.6,1613.78,1625.03,960.65,558.5,787.82,939.73,660.29,313.71,327.89,264.71,223.9,276.17
Angpt1,NM_009640.3,57.08,41.88,61.03,65.79,57.95,95.13,108.6,79.43,101.14,111.81,121.41,98.82,107.1,118.64,100.63,86.52,48.61,61.04,53.76,57.08,67.49,52.84,112.47,104.9,69.4,135,134.03,142.22,109.77,140.45,3.84,2.29,10.24,1.1,5.59,1,1,1,1,5.12,1,1.88,3.83,4.15,1.01,8.66,1,12.98,5.94,2.96,1,1,14.27,4.26,1,16.09,1.25,1,1,3.44,12.77,34.41,31.41,24.76,10.17,31.73,28.18,16.53,32.29,24.67,33.71,21.38,37.16,28.62,31.96,44.23,15.77,17.48,47.91,35.09,56.72,20.39,19.57,16.62,19.69,14.33,61.47,59.68,30.24,12.83,153.42,161.47,187.69,179.75,169.79,386.3,420.74,163.99,505.74,314.09,119.6,108.54,125.09,71.87,101.22,125.4,163.61,172.65,164.67,170.85,108.7,76.77,100.07,104.66,118.92,185.07,160.4,149.3,191.25,149.7
Angpt2,NM_007426.3,192.22,174.16,241.08,165.08,158.47,331.47,423.21,258.49,185.43,365.42,241.7,308.48,348.74,307.07,173.9,40.15,84.57,55.6,37.53,53.55,73.11,71.07,139.96,134.49,99.98,277.33,188.31,197.34,178.64,179.53,534.96,538.12,480.27,486.73,510.51,673.81,693.41,606.03,855.77,535.02,866.88,1093.9,927.39,816.69,888.84,861.22,532.89,539.84,608.84,825.84,515.7,524.36,557.63,562.63,574.12,557.32,564.27,522.62,597.48,623.25,210.74,473.84,291.83,191.61,216.96,426.22,341.68,278.31,279.43,294.5,257.55,218.5,327.8,325.68,377.38,799.34,206.11,168.23,239.57,310.16,251.56,168.2,191.77,188.02,184.19,397.59,270.47,212.44,173.86,179.6,61.37,33.58,38.33,43.33,36.47,144.86,119.95,66.1,177.6,108.31,60.38,47.49,48.59,55.7,102.83,71.99,148.03,80.3,76.85,47.68,47,47.98,40.46,61.05,44.37,36.11,49.68,54,59.47,42.59
Anp32b,NM_130889.2,4902.24,6571.53,4115.15,5569.77,6406.08,3640.21,3823.25,4003.93,3711.4,3718.27,4104.44,3942.14,3407.71,3805.8,4256.66,13296.45,11796.89,13782.82,12356.67,12739.4,11682.93,13194.73,8405.29,9341.48,10969.75,5128.36,6017.09,6020.47,7473.77,6456.9,6567.88,6957.9,6249.71,6368.1,6414.96,4049.06,4505.95,3986.16,4875.82,3832.14,3957.02,3833.33,3760.68,3955.75,3939.93,4245.49,6101.82,5285.09,4908.72,4644.68,5999.83,6235.35,6279.17,6144.41,6101.22,5614.13,5834.92,6523.5,6093.1,5741.62,3812.54,3839.71,3691.68,4445.74,3890.6,3404.26,3663.4,3509.14,3284.81,3307.33,3750.03,4659.78,4425.97,3966.71,3918.81,3516.48,4214.64,4330.26,3333.24,3702.29,3931.21,4410.11,3888.82,4687.03,3964.17,3777.13,3463.84,4384.94,4378.34,4326.49,10188.69,9901.04,10868.77,9391.68,9727.09,5662.39,8080.7,8427.01,6534.09,5948.85,8210.49,8191.16,8617.91,8901.27,11412.33,13152.87,8133.98,8624.22,9677.17,10342.17,17300.53,14664.94,15305,13297.98,12586.32,15656.11,9107.1,9302,8267.98,10224.89
Anxa1,NM_010730.2,461.33,392.1,465.38,462.95,624.41,668.88,760.18,541.22,622.31,932.64,1403,1107.06,858.13,1161.98,1376.55,1074.24,364.93,456.87,373.8,383.91,2341.76,1712.89,3184.16,3130.86,3708.73,1630.22,1850.99,1953.54,1412.97,1548.58,1505.73,991.7,1737.79,1612.9,1468.59,2118.06,2524.86,2612.02,3012.05,2182.73,2432.66,2814.49,3069.13,2817.37,2300.24,2381.11,1350.14,1839.27,1883.54,2060.16,1480.58,1527.08,1563.8,1713.46,1586.25,1570.29,1833.08,1618.07,1628.95,1672.71,567.09,982.1,573.19,543.61,348.04,692.44,854.21,651.68,593.62,476.44,682.31,554.57,626.4,738.56,615.85,3274.78,468.99,881.56,1311.8,1028.72,1143.11,1038.5,793.16,668.98,1022.9,988.61,963.54,1396.4,878.39,423.35,7513.82,7148.38,7701.85,10019.18,6838.14,3576.1,3399.1,7557.48,3472.56,4015.54,6725.38,7346.07,6704.31,7612.97,8875.37,14084.07,45118.66,24310.83,25792.99,26075.95,8064.18,8492.65,6798.67,5304.8,7275.61,6357.68,6151.84,4729.88,5277.98,5178.91
Apoe,NM_009696.3,11723.2,12546.35,14176.44,12463.81,13311.21,35334.84,41370.67,27417.65,29567.57,51653.53,22188.25,24945.5,29077.18,27150.07,18306.46,2967.3,4778.69,3832.02,3267.82,3359.25,6503.39,4763.3,11187.05,10288.26,7357.47,13509.82,10824.56,11800.6,11185.37,10779.01,7605.52,7897.04,7331.1,8744.6,7928.31,11853.68,12566.41,11708.49,11028.78,16126.82,18796.29,27822.15,18081.81,18016.88,20272.91,24172.05,8344.04,15568.92,19348.56,20808.53,9534.99,9724.47,9796.19,10348.51,11449.54,11375.28,15643.51,8070.96,10026.16,13048.82,20817.6,26201.59,31954.47,9773.09,25054.46,44660.96,56611.83,43364.86,44596.38,62254.99,35309.04,24501.84,41738.18,53205.11,45399.46,28809.51,13304.31,18379.58,39148.04,42859.79,21846.1,21663.21,29032.46,19377.62,20909.78,32085,30547.56,22917.7,22535.76,14878.11,4671.09,5408.43,5051.74,4898.05,4629.61,9842.09,11219.6,5878.18,14020.46,9677.37,2747.28,3239.83,3274.1,2975.47,3441.53,5489.65,7019.84,7235.03,6987.55,6869.62,6624.67,5955.41,7296.92,8852.24,6608.22,4118.84,6160.35,5993.09,6508.26,5395.71
App,NM_007471.2,1846.49,1900.56,2131.58,1832.67,1990.3,4087.62,4767.09,3464.06,2663.44,4889.52,3369.21,3533.5,4537.51,3553.4,3100.9,921.96,937.62,782,614.71,697.11,1279.98,1042.31,2129.44,1748.33,1589.12,2557.58,2049.27,2036.22,1925.21,2249.6,2165.21,2242.75,2421.85,2390.78,2281.91,2209.52,2558.11,2202.69,1943.7,2697.85,2313.01,3053.72,2504.78,2273.46,2463.6,2953.24,1825.84,3018.45,2782.24,2647.18,1998.34,2047.26,2470.07,2152.01,2138.84,2598.62,3051.8,1837.36,1963.14,2900.31,2177.68,3183.21,2508.67,1933.3,2272.44,4129.81,4642.65,3779.18,3109.7,4440.62,3319.87,2871.39,3751.79,4563.55,4028.21,4036.21,2095.75,2228.49,3741.15,3751.41,2719.05,3135.88,2659.95,2133.68,2828.9,3744.89,3489.96,3382.4,2674.48,2036.56,1884.32,1590.11,1607.25,1946.7,1602.32,3123.05,3109.38,2328.9,3347.39,2868.82,1679.02,1686.3,1881.55,1568.59,2426.11,2742.5,4456.55,3701.83,3759.99,4024.83,1921.3,1867.42,1748.11,2130.21,2069.62,1187.13,1735.97,1305.56,1580.13,1561.54
Arg1,NM_007482.3,16.31,12.37,25.94,8.37,21.29,23.78,31.94,18.85,12.64,32.72,17.99,17.36,20.9,22.1,16.61,6.92,7.99,7.25,5.07,6.06,6.75,10.93,19.99,13.45,8.23,7.34,16.62,9.92,10.76,14.66,250.57,100.54,657.43,606.49,293.02,228.39,221.08,159.34,166.91,488.97,154.74,246.74,853.25,238.79,220.18,669.93,366.13,967.22,566.66,372.43,188.59,245.19,146.8,234.43,365.68,222.34,312.51,191.44,200.06,249.19,22.99,45,13.09,18.3,11.3,70.35,19.37,13.78,19.87,21.59,25.62,16.63,9.29,17.71,13.52,52.13,34.7,27.31,29.78,16.84,12.33,17.84,22.18,19.74,10.43,44.77,23.05,28.64,12.09,22.45,19.85,7.75,7.93,6.42,6.29,29.82,18.45,11.44,20.3,21.66,11.61,8.72,9.3,7.19,16.07,18.58,70.12,36.14,21.96,43.7,26.44,15.35,12.78,17.44,19.52,15.8,14.19,14.82,18.66,14.2
Arg2,NM_009705.2,38.44,17.13,25.94,37.08,42.57,101.08,122.97,67.32,92.71,125.44,13.49,21.37,26.12,18.61,42.99,18,21.31,13.3,10.14,18.69,40.49,23.69,49.99,45.73,50.58,26.41,22.15,31.97,25.83,30.53,21.52,9.14,12.29,20.88,11.19,9.82,13.55,14.29,23.92,12.51,17.26,10.32,40.27,14.1,20.29,15.58,8.55,19.9,10.1,11.23,8.23,6.8,11.21,9,8.94,12.43,10.65,3.48,10.84,16.04,40.87,157.51,44.49,41.98,37.29,56.55,119.76,52.35,48.43,57.05,33.71,20.19,30.52,31.34,43.02,281.19,23.13,133.27,170.94,134.73,78.92,50.97,50.88,36.36,66.03,57.31,89.13,50.13,63.5,64.14,169.66,196.34,189.01,258.38,188.66,315.29,276.8,255.52,531.12,323.57,16.26,19.38,19.64,41.33,41.77,299.56,1246.59,891.33,702.6,544.33,461.23,403.04,427.98,516.74,319.49,144.44,123.49,118.59,115.45,122.6
Atf1,NM_007497.3,199.21,247.44,221.24,227.29,235.34,211.07,237.96,184.44,219.14,193.62,204.6,190.96,203.76,183.78,201.26,392.46,358.93,384.35,347.43,369.77,322.81,391.78,319.92,328.15,348.17,206.9,250.34,263.49,243.21,256.47,205.99,226.22,214.02,186.78,186.02,162.25,193.98,145.6,199.53,172.28,180.62,225.16,170.01,178.26,143.07,180.9,188.68,181.68,172.26,186.8,192.02,197.09,188.59,180.91,188.94,210.64,189.13,181.5,193.29,190.18,191.58,209.13,200.22,196.99,205.66,162.76,174.36,173.6,219.82,178.86,198.22,230.38,196.41,193.5,204.05,243.28,201.9,199.91,230.5,204.9,223.2,207.7,199.59,237.88,189.98,173.72,221.29,238.7,234.34,173.19,296,294.51,348.94,304.92,232.68,225.81,250.96,254.25,216.51,239.63,284.48,261.67,240.88,287.49,308.48,339.04,560.96,365.37,367.77,385.4,273.21,261.02,313,311.79,292.87,268.57,309.44,308.13,296.2,325.21
Atf2,NM_001284371.1,419.39,337.86,430.28,411.51,462.39,466.73,413.63,394.47,420.03,522.22,346.25,360.56,364.41,394.31,360.5,374.46,375.58,341.44,283.01,337.44,413.91,391.78,407.39,424.98,390.52,413.79,352.25,393.57,397.09,411.57,348.19,317.62,307.21,283.47,367.15,330.7,340.55,304.94,322.95,304.75,311.2,294.58,302.95,291.02,319.62,341.02,318.56,301.93,327.88,335.18,323.68,324.65,325.2,319.2,314.89,305.72,338.81,312.28,341.87,360.32,384.45,340.16,384.74,367.07,384.2,379.32,447.36,398.17,406.1,388.55,369.47,309.94,326.47,389.72,336.81,334.9,336.5,290.58,363.88,345.25,330.48,368.25,391.36,355.27,357.96,394.01,344.23,336.57,411.23,423.35,474.69,467.6,502.27,434.92,454.03,343.69,468.71,383.91,449.93,350.65,289.13,314.97,352.53,337.8,409.71,485.34,670.04,682.55,537.93,691.33,678.62,508.6,506.76,494.94,461.49,537.14,408.8,397.07,360.34,456.85
Atg10,NM_025770.3,298.23,208.42,357.04,306.24,237.7,261.61,225.18,220.8,286.57,220.89,238.33,285.78,299.1,255.89,190.51,76.83,96.56,83.4,67.46,81.33,140.6,136.67,169.96,145.25,96.45,247.98,217.11,252.46,170.03,232.04,159.87,196.51,183.3,160.41,146.16,157.08,155.19,162.63,162.02,160.34,180.62,204.52,184.07,218.89,168.43,193.88,172.64,164.38,171.66,172.03,157.04,133.31,148.33,127.4,126.36,155.05,194.77,127.3,148.13,162.11,252.89,246.19,232.94,252.97,236.17,256.56,207.83,205.29,214.85,220.49,221.15,216.13,230.92,220.75,189.3,282.77,195.59,186.8,268.06,223.15,194.83,276.51,284.39,252.43,231.69,299.09,291.98,315.09,303.88,243.75,175.08,143.38,157.29,155.67,152.18,195.99,217.75,138.56,197.9,167.88,126.57,148.28,143.7,123.98,183.16,174.16,342.81,289.08,241.52,222.5,182.14,130.51,178.86,159.17,150.87,157.98,161.82,126,121.28,169.06
